Name,State,Notes,User,Tags,Created,Runtime,Sweep,additional.System,additional.run_by,decomposition_type,experimentation.output_path,experimentation.seed,fe.fe_order,fe.fe_type,fe.quad_order,fe.quad_type,fe.rank_list,geometry.exact_solution.exact_solution_file_name,geometry.exact_solution.exact_solution_generation,geometry.external_mesh_params.boundary_refinement_level,geometry.external_mesh_params.boundary_sampling_method,geometry.external_mesh_params.mesh_file_name,geometry.generate_mesh_plot,geometry.internal_mesh_params.n_boundary_points,geometry.internal_mesh_params.n_cells_x,geometry.internal_mesh_params.n_cells_y,geometry.internal_mesh_params.n_test_points_x,geometry.internal_mesh_params.n_test_points_y,geometry.internal_mesh_params.x_max,geometry.internal_mesh_params.x_min,geometry.internal_mesh_params.y_max,geometry.internal_mesh_params.y_min,geometry.mesh_generation_method,geometry.mesh_type,logging.plot_residual_images,logging.print_verbose,logging.test_errors_last_n_epochs,logging.update_console_output,logging.update_progress_bar,logging.update_solution_images,model.activation,model.dtype,model.epochs,model.learning_rate.decay_rate,model.learning_rate.decay_steps,model.learning_rate.initial_learning_rate,model.learning_rate.staircase,model.learning_rate.use_lr_scheduler,model.model_architecture,model.set_memory_growth,model.use_attention,pde.beta,wandb.entity,wandb.project_name,wandb.use_wandb,wandb.wandb_run_prefix,epoch,epochs_per_sec,l2,l2_relative,linf,linf_relative,loss_dirichlet,loss_pde,min_l1,min_l1_rel,min_l2,min_l2_rel,min_linf,min_linf_rel,time_per_epoch,time_taken,total_loss,first_element
gear_256_seed_914_03_Aug_2024_21_14,finished,-,,,2024-08-03T15:49:57.000Z,1828,,21,Jovita,ttd,output/gear_test_seeding/ttd/256x16x25_914,914,4,jacobi,5,gauss-jacobi,"[256, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_TTD_seeding,True,gear_256_seed_914,100000,352.2567024494008,0.0117458339505973,0.03922714322694,0.0498901074447631,0.0548884107971874,6.24053573119e-05,0.0004814639396499,0.0079508491940786,0.0402949316333413,0.0111236168608498,0.0371491469773392,0.0463279823760985,0.0509694097347765,0.002838838815689,0.2224125862121582,0.0007934907334856,256
gear_256_seed_759_03_Aug_2024_20_43,finished,-,,,2024-08-03T15:19:23.000Z,1822,,21,Jovita,ttd,output/gear_test_seeding/ttd/256x16x25_759,759,4,jacobi,5,gauss-jacobi,"[256, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_TTD_seeding,True,gear_256_seed_759,100000,358.2335429710304,0.0115923448761984,0.0387145412328591,0.0381995638656615,0.0420266353615944,5.88822622376e-05,0.0005862502148374,0.0082563597072715,0.041843259986939,0.0113155678186572,0.0377901987533245,0.0429712996621322,0.0472764335285418,0.0027914750576019,0.2258293628692627,0.0008806615369394,256
gear_256_seed_693_03_Aug_2024_20_13,finished,-,,,2024-08-03T14:48:45.000Z,1828,,21,Jovita,ttd,output/gear_test_seeding/ttd/256x16x25_693,693,4,jacobi,5,gauss-jacobi,"[256, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_TTD_seeding,True,gear_256_seed_693,100000,344.9484707858293,0.0119334689496435,0.0398537811491965,0.0345850983691215,0.0380500500795121,6.78930009598e-05,0.0005863838014192,0.0077850583880504,0.0394547032462503,0.010668707342371,0.0356299018635635,0.0402409483216247,0.0442725384945543,0.0028989837169647,0.2237768173217773,0.0009258488425984,256
gear_256_seed_105_03_Aug_2024_19_42,finished,-,,,2024-08-03T14:17:56.000Z,1839,,21,Jovita,ttd,output/gear_test_seeding/ttd/256x16x25_105,105,4,jacobi,5,gauss-jacobi,"[256, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_TTD_seeding,True,gear_256_seed_105,100000,338.53600328535305,0.0135525206793018,0.045260870535804,0.0499155095024108,0.0549163577920261,6.07966212555e-05,0.0004595119098667,0.0082451249443517,0.0417863221690132,0.011947783946048,0.0399015884327504,0.0510230234069823,0.0561348293742937,0.0029538955688476,0.2264330387115478,0.0007634949870407,256
gear_256_seed_755_03_Aug_2024_19_11,finished,-,,,2024-08-03T13:47:12.000Z,1833,,21,Jovita,ttd,output/gear_test_seeding/ttd/256x16x25_755,755,4,jacobi,5,gauss-jacobi,"[256, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_TTD_seeding,True,gear_256_seed_755,100000,348.36258611153954,0.0108972089495093,0.0363930205410877,0.050086097995758,0.0551040369087824,5.65018781344e-05,0.0004706527106463,0.0074998708627212,0.0380093718665054,0.010692884656153,0.0357106459771409,0.0476633479995727,0.0524385606478476,0.0028705723285675,0.2230200767517089,0.0007531620794907,256
gear_64_seed_914_03_Aug_2024_18_41,finished,-,,,2024-08-03T13:16:36.000Z,1825,,21,Jovita,ttd,output/gear_test_seeding/ttd/64x16x25_914,914,4,jacobi,5,gauss-jacobi,"[64, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_TTD_seeding,True,gear_64_seed_914,100000,353.5497607980171,0.0128293411683739,0.0428456936847374,0.0508252935028076,0.0559172896502261,5.15029933012e-05,0.0004293263773433,0.008265045251132,0.0418872783537216,0.0122482017407424,0.0409048830400096,0.0509643511390686,0.0560702789512019,0.0028284561634063,0.2130970954895019,0.0006868413183838,64
gear_64_seed_759_03_Aug_2024_18_10,finished,-,,,2024-08-03T12:46:07.000Z,1818,,21,Jovita,ttd,output/gear_test_seeding/ttd/64x16x25_759,759,4,jacobi,5,gauss-jacobi,"[64, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_TTD_seeding,True,gear_64_seed_759,100000,351.4249315152279,0.0124434452428821,0.0415569308090122,0.042287238571167,0.0465238389142118,5.99612940277e-05,0.0005116303218528,0.0085936236862792,0.0435525150167824,0.0121359793914737,0.0405300980578156,0.0419113120765686,0.046110249749508,0.0028455579280853,0.2127177715301513,0.0008114367956295,64
gear_64_seed_693_03_Aug_2024_17_40,finished,-,,,2024-08-03T12:15:38.000Z,1818,,21,Jovita,ttd,output/gear_test_seeding/ttd/64x16x25_693,693,4,jacobi,5,gauss-jacobi,"[64, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_TTD_seeding,True,gear_64_seed_693,100000,351.02241468007594,0.01725268435545,0.0576181753553571,0.0511756741275787,0.056302773599907,0.0001567687868373,0.000571152602788,0.0073661855605604,0.0373318542857461,0.0101913806994666,0.0340357910779012,0.0535571114458751,0.0589227982202013,0.0028488209247589,0.2116541862487793,0.0013549965806305,64
gear_64_seed_105_03_Aug_2024_17_09,finished,-,,,2024-08-03T11:44:54.000Z,1833,,21,Jovita,ttd,output/gear_test_seeding/ttd/64x16x25_105,105,4,jacobi,5,gauss-jacobi,"[64, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_TTD_seeding,True,gear_64_seed_105,100000,342.7321535616393,0.012318287657092,0.0411389464781954,0.0560674624061584,0.0616846518583339,3.96094983443e-05,0.000390006811358,0.0077099658195458,0.0390741338453972,0.0119081679022016,0.0397692841423453,0.053848798713684,0.0592437085449091,0.0029177303314208,0.2135267257690429,0.0005880543030798,64
gear_64_seed_755_03_Aug_2024_16_38,finished,-,,,2024-08-03T11:14:13.000Z,1830,,21,Jovita,ttd,output/gear_test_seeding/ttd/64x16x25_755,755,4,jacobi,5,gauss-jacobi,"[64, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_TTD_seeding,True,gear_64_seed_755,100000,351.06172572080663,0.0127992131117883,0.0427450760873999,0.0503527135009765,0.0553973636247359,5.22768532391e-05,0.0004719889548141,0.0083154804508321,0.0421428841228945,0.0122299674861594,0.0408439867495314,0.0492758556518554,0.0542126194135076,0.0028485019207,0.2131745815277099,0.0007333732210099,64
gear_16_seed_914_03_Aug_2024_16_08,finished,-,,,2024-08-03T10:44:00.000Z,1801,,21,Jovita,ttd,output/gear_test_seeding/ttd/16x16x25_914,914,4,jacobi,5,gauss-jacobi,"[16, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",False,False,5,starslab-iisc,Gear_experiment_TTD_seeding,True,gear_16_seed_914,100000,339.1092809197103,0.012002904991993,0.0400856742263344,0.0370165556669235,0.0407251059940606,4.9001762818e-05,0.0013486837269738,0.0080211961656448,0.0406514503322474,0.0111739095077038,0.0373171075384794,0.0386222451925277,0.0424916635504196,0.0029489018917083,0.2120907306671142,0.001593692577444,16
