Name,State,Notes,User,Tags,Created,Runtime,Sweep,additional.System,additional.run_by,decomposition_type,experimentation.output_path,experimentation.seed,fe.fe_order,fe.fe_type,fe.quad_order,fe.quad_type,fe.rank_list,geometry.exact_solution.exact_solution_file_name,geometry.exact_solution.exact_solution_generation,geometry.external_mesh_params.boundary_refinement_level,geometry.external_mesh_params.boundary_sampling_method,geometry.external_mesh_params.mesh_file_name,geometry.generate_mesh_plot,geometry.internal_mesh_params.n_boundary_points,geometry.internal_mesh_params.n_cells_x,geometry.internal_mesh_params.n_cells_y,geometry.internal_mesh_params.n_test_points_x,geometry.internal_mesh_params.n_test_points_y,geometry.internal_mesh_params.x_max,geometry.internal_mesh_params.x_min,geometry.internal_mesh_params.y_max,geometry.internal_mesh_params.y_min,geometry.mesh_generation_method,geometry.mesh_type,logging.plot_residual_images,logging.print_verbose,logging.test_errors_last_n_epochs,logging.update_console_output,logging.update_progress_bar,logging.update_solution_images,model.activation,model.dtype,model.epochs,model.learning_rate.decay_rate,model.learning_rate.decay_steps,model.learning_rate.initial_learning_rate,model.learning_rate.staircase,model.learning_rate.use_lr_scheduler,model.model_architecture,model.set_memory_growth,model.use_attention,pde.beta,wandb.entity,wandb.project_name,wandb.use_wandb,wandb.wandb_run_prefix,epoch,epochs_per_sec,l2,l2_relative,linf,linf_relative,loss_dirichlet,loss_pde,min_l1,min_l1_rel,min_l2,min_l2_rel,min_linf,min_linf_rel,time_per_epoch,time_taken,total_loss,first_element
gear_256_seed_914_04_Aug_2024_01_17,finished,-,,,2024-08-03T19:57:20.000Z,5107,,23,Jovita,tucker,output/gear_test_seeding/Tucker/256_914,914,4,jacobi,5,gauss-jacobi,"[256, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_256_seed_914,100000,288.8775201256037,0.0208964045144614,0.0697869777713966,0.0507980496768951,0.0558873163672456,5.64441797905e-05,0.0004852405108977,0.0135397713138414,0.0686196085606348,0.0184038910581541,0.061462819371331,0.0472932965641021,0.052031435142482,0.0034616746902465,5.276947498321533,0.0007674613734707,256
gear_256_seed_759_03_Aug_2024_23_52,finished,-,,,2024-08-03T18:32:09.000Z,5100,,23,Jovita,tucker,output/gear_test_seeding/Tucker/256_759,759,4,jacobi,5,gauss-jacobi,"[256, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_256_seed_759,100000,283.47357973066147,0.0136073778068636,0.0454440749305654,0.0352200306951999,0.0387485939016675,3.51309499819e-05,0.0002756309404503,0.0083595309955352,0.0423661324381242,0.0110745046767199,0.0369851287655072,0.0385974235832691,0.0424643551569241,0.0035276656150817,5.286960601806641,0.0004512856830842,256
gear_256_seed_693_03_Aug_2024_22_27,finished,-,,,2024-08-03T17:06:51.000Z,5102,,23,Jovita,tucker,output/gear_test_seeding/Tucker/256_693,693,4,jacobi,5,gauss-jacobi,"[256, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_256_seed_693,100000,281.98848112810884,0.0201234533500329,0.0672055803021326,0.0548689144363403,0.0603660258481504,6.3728148234e-05,0.0004891416174359,0.0135446494657853,0.0686443310518147,0.0184063768736636,0.0614711211608368,0.0506516534385681,0.055726253237098,0.0035462441444396,5.311895370483398,0.0008077823440544,256
gear_256_seed_105_03_Aug_2024_21_01,finished,-,,,2024-08-03T15:41:35.000Z,5104,,23,Jovita,tucker,output/gear_test_seeding/Tucker/256_105,105,4,jacobi,5,gauss-jacobi,"[256, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_256_seed_105,100000,284.4107100198144,0.0170477593565779,0.056933794636598,0.0509205968265533,0.0560221410576897,4.97010551043e-05,0.000382634694688,0.0116637959596937,0.0591121588787175,0.0158063094806808,0.0527877687098133,0.0475872964744568,0.0523548898047464,0.0035160419940948,5.169780254364014,0.0006311399629339,256
gear_256_seed_755_03_Aug_2024_19_36,finished,-,,,2024-08-03T14:16:28.000Z,5096,,23,Jovita,tucker,output/gear_test_seeding/Tucker/256_755,755,4,jacobi,5,gauss-jacobi,"[256, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_256_seed_755,100000,281.6365969430476,0.0205072878721692,0.068487458782504,0.0480350991020203,0.0528475561034706,8.96630226634e-05,0.0003958761808462,0.0108956700797298,0.0552192942219465,0.0146726467488749,0.0490017156684853,0.0390786515865326,0.04299379559478,0.0035506749153137,5.356740713119507,0.0008441912941634,256
gear_64_seed_914_03_Aug_2024_18_52,finished,-,,,2024-08-03T13:31:52.000Z,2665,,23,Jovita,tucker,output/gear_test_seeding/Tucker/64_914,914,4,jacobi,5,gauss-jacobi,"[64, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_64_seed_914,100000,307.1129346826773,0.0187052974540417,0.0624694155747787,0.0458072471351623,0.0503965039768018,4.98811568832e-05,0.0004285697941668,0.0123443799268029,0.062561360813756,0.0167658536479403,0.0559923241836925,0.0449076938362121,0.0494068277957792,0.0032561311721801,5.534154176712036,0.0006779755931347,64
gear_64_seed_759_03_Aug_2024_18_07,finished,-,,,2024-08-03T12:47:12.000Z,2669,,23,Jovita,tucker,output/gear_test_seeding/Tucker/64_759,759,4,jacobi,5,gauss-jacobi,"[64, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_64_seed_759,100000,327.31910511480584,0.0153443403104119,0.0512449467284379,0.0380544980278014,0.0418670359197628,3.99309901695e-05,0.0003690173907671,0.00975557512369,0.0494412889815309,0.0126904137807803,0.0423817228373543,0.040245596319437,0.044277652157891,0.0030551226139068,6.730185508728027,0.0005686723161488,64
gear_64_seed_693_03_Aug_2024_17_22,finished,-,,,2024-08-03T12:02:34.000Z,2668,,23,Jovita,tucker,output/gear_test_seeding/Tucker/64_693,693,4,jacobi,5,gauss-jacobi,"[64, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_64_seed_693,100000,320.5797594159848,0.0177714078875834,0.0593505378573101,0.0455866194648743,0.0501537724450366,4.70278646389e-05,0.0004040781932417,0.0110941805646103,0.0562253460563489,0.0148349860711799,0.0495438745202285,0.0398092377967834,0.0437975765061643,0.0031193485260009,5.923710584640503,0.0006392174982465,64
gear_64_seed_105_03_Aug_2024_16_38,finished,-,,,2024-08-03T11:17:50.000Z,2673,,23,Jovita,tucker,output/gear_test_seeding/Tucker/64_105,105,4,jacobi,5,gauss-jacobi,"[64, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_64_seed_105,100000,328.38176208751105,0.0190376819175579,0.0635794681271643,0.0472929113330841,0.0520310113166084,6.61834201309e-05,0.0003471244417596,0.0104664660491799,0.053044086688059,0.014208514889266,0.0474516710305618,0.0399177880172729,0.0439170019674333,0.0030452361106872,6.033918142318726,0.0006780415424145,64
gear_64_seed_755_03_Aug_2024_15_53,finished,-,,,2024-08-03T10:33:06.000Z,2673,,23,Jovita,tucker,output/gear_test_seeding/Tucker/64_755,755,4,jacobi,5,gauss-jacobi,"[64, 16, 25]",fem_output_gear_forward_sin.csv,external,2,uniform,meshes/gear.mesh,True,2000,8,8,100,100,1,0,1,0,external,quadrilateral,True,True,1000,1000,1000,1000,tanh,float32,100000,0.99,1000,0.005,False,True,"[2,50,50,50,1]",True,False,5,starslab-iisc,Gear_experiment_Tucker_Decomposition_seeding,True,gear_64_seed_755,100000,323.8364159388853,0.0150433362188592,0.0502396940864464,0.0419492125511169,0.0461519473309117,5.30861289007e-05,0.0003236304619349,0.0091777996060218,0.0465131206292498,0.0124123982299561,0.0414532442059206,0.0374731943011283,0.0412274935458985,0.0030879788398742,6.274716854095459,0.0005890611209906,64
