"Name","State","Notes","User","Tags","Created","Runtime","Sweep","additional.System","additional.run_by","decomposition_type","experimentation.output_path","experimentation.seed","fe.fe_order","fe.fe_type","fe.quad_order","fe.quad_type","fe.rank_list","geometry.external_mesh_params.boundary_refinement_level","geometry.external_mesh_params.boundary_sampling_method","geometry.external_mesh_params.mesh_file_name","geometry.internal_mesh_params.n_boundary_points","geometry.internal_mesh_params.n_cells_x","geometry.internal_mesh_params.n_cells_y","geometry.internal_mesh_params.n_test_points_x","geometry.internal_mesh_params.n_test_points_y","geometry.internal_mesh_params.x_max","geometry.internal_mesh_params.x_min","geometry.internal_mesh_params.y_max","geometry.internal_mesh_params.y_min","geometry.mesh_generation_method","geometry.mesh_type","inverse.Sensor_data_file","inverse.num_sensor_points","logging.update_console_output","logging.update_progress_bar","logging.update_solution_images","model.activation","model.dtype","model.epochs","model.learning_rate.decay_rate","model.learning_rate.decay_steps","model.learning_rate.initial_learning_rate","model.learning_rate.staircase","model.learning_rate.use_lr_scheduler","model.model_architecture","model.set_memory_growth","model.use_attention","pde.beta","wandb.entity","wandb.project_name","wandb.use_wandb","wandb.wandb_run_prefix","epoch","epochs_per_sec","l1","l1_inverse","l1_inverse_relative","l2","l2_inverse","l2_inverse_relative","l2_relative","linf","linf_inverse","linf_inverse_relative","linf_relative","loss_dirichlet","loss_pde","sensor_loss","time_per_epoch","time_taken","total_loss"
"14_seed_914_27_Sep_2024_14_23","finished","-","","","2024-09-27T08:50:54.000Z","518","","23","Jovita","cp","output/gear_inv/cp/14_914","914","4","jacobi","5","gauss-jacobi","[14,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_cp","true","14_seed_914","40000","95.19986543881934","0.0035997680542764086","0.0598227694772187","0.13196702594491042","0.004124121373408083","0.07035809768496748","0.14036630952801976","0.004789950057549432","0.008087697428029617","0.1860918857119035","0.22129764307523556","0.007318809111563871","0.0000241023299167864","0.0000017530860532133374","0.000022244799765758216","0.010504216527938842","51.04819107055664","0.0004652243806049228"
"14_seed_759_27_Sep_2024_14_15","finished","-","","","2024-09-27T08:42:04.000Z","518","","23","Jovita","cp","output/gear_inv/cp/14_759","759","4","jacobi","5","gauss-jacobi","[14,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_cp","true","14_seed_759","40000","95.27377039348067","0.00027250098361422957","0.06014934564493729","0.13268744203354907","0.0003375286876637876","0.07063783326550033","0.1409243895838349","0.00039202181762262265","0.001761041360537785","0.18119005934920196","0.21546846564130231","0.001593621135068207","1.446854724918012e-7","0.000001736086119308311","1.1530153187777616e-7","0.010496068286895753","50.84317135810852","0.000004335956418799469"
"14_seed_693_27_Sep_2024_14_06","finished","-","","","2024-09-27T08:33:13.000Z","519","","23","Jovita","cp","output/gear_inv/cp/14_693","693","4","jacobi","5","gauss-jacobi","[14,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_cp","true","14_seed_693","40000","95.26107157195072","0.0003948613268066623","0.058585553979860955","0.12923776999327097","0.0004830255241797953","0.06959419564616794","0.13884230428121316","0.0005610087404946791","0.0019660217339203534","0.17408625855659954","0.20702073367134063","0.0017791142544330346","1.938806235557422e-7","0.0000017478424751971031","2.015687101675212e-7","0.010497467470169069","51.07183527946472","0.000005702335784008028"
"14_seed_105_27_Sep_2024_13_57","finished","-","","","2024-09-27T08:24:24.000Z","518","","23","Jovita","cp","output/gear_inv/cp/14_105","105","4","jacobi","5","gauss-jacobi","[14,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_cp","true","14_seed_105","40000","95.29561380993007","0.0003772876467291372","0.05697987814564617","0.12569570287861437","0.00047395194756278634","0.06708860340649805","0.1338435799348093","0.0005504702584996874","0.002227192090017871","0.17085395827507488","0.20317693128696257","0.0020154554379264154","2.106831118453556e-7","0.0000017301830439464538","1.6687677373283805e-7","0.01049366240501404","50.7654595375061","0.000005505781700776424"
"14_seed_755_27_Sep_2024_13_48","finished","-","","","2024-09-27T08:15:35.000Z","518","","23","Jovita","cp","output/gear_inv/cp/14_755","755","4","jacobi","5","gauss-jacobi","[14,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_cp","true","14_seed_755","40000","95.28084854635271","0.0009524668456825848","0.054456143350494","0.1201284284428036","0.001202087129644618","0.0653808029373413","0.13043647176740114","0.001396160974540484","0.0031525462501031942","0.17084698453163616","0.2031686382172218","0.002852837216674036","0.0000015152955938901869","0.0000017318794789389358","0.0000015600951428496046","0.01049528856277466","50.59987282752991","0.00003248578650527634"
"12_seed_914_27_Sep_2024_13_40","finished","-","","","2024-09-27T08:07:03.000Z","500","","23","Jovita","cp","output/gear_inv/cp/12_914","914","4","jacobi","5","gauss-jacobi","[12,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_cp","true","12_seed_914","40000","97.08146988727697","0.0002812441046309056","0.0395284533205975","0.08719844417948527","0.000352951039558921","0.04724178072699989","0.09424863142082504","0.0004099340681746948","0.002142791913015918","0.13255958333229534","0.1576378424360058","0.0019390790910172571","1.8434793958022058e-7","0.0000031252243388735224","1.3338944881979844e-7","0.01030062689781189","43.6799099445343","0.000006302598194452003"
"12_seed_759_27_Sep_2024_13_31","finished","-","","","2024-09-27T07:58:29.000Z","501","","23","Jovita","cp","output/gear_inv/cp/12_759","759","4","jacobi","5","gauss-jacobi","[12,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_cp","true","12_seed_759","40000","97.11009765729214","0.0004655038899333723","0.0417869125533087","0.09218052960888386","0.0005780795673033613","0.04938191560542341","0.09851825843833736","0.0006714090119963342","0.0024889928871796307","0.13810901419844512","0.16423714130596911","0.002252367127159698","3.461573783170025e-7","0.000003112559397777659","3.085358741827804e-7","0.01029759030342102","43.50312352180481","0.00000965949129749788"
"12_seed_693_27_Sep_2024_13_22","finished","-","","","2024-09-27T07:49:55.000Z","503","","23","Jovita","cp","output/gear_inv/cp/12_693","693","4","jacobi","5","gauss-jacobi","[12,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_cp","true","12_seed_693","40000","97.1468545199644","0.0031084746387428992","0.041195053105044","0.0908749074879516","0.003686614190528873","0.04885928815486148","0.09747560252654898","0.004281808476333364","0.007959016782003836","0.12907962575172893","0.1534995297544234","0.007202361990118472","0.000013543070053856354","0.000003120855581073556","0.000011695321518345736","0.010293694067001345","43.80729675292969","0.0002555047976784408"
"12_seed_105_27_Sep_2024_13_14","finished","-","","","2024-09-27T07:41:21.000Z","501","","23","Jovita","cp","output/gear_inv/cp/12_105","105","4","jacobi","5","gauss-jacobi","[12,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_cp","true","12_seed_105","40000","97.13502370052484","0.00034690317381620364","0.04462279348934307","0.0984363879774076","0.0004441001897567605","0.050807628881556856","0.101362595019352","0.0005157990119299575","0.001777355835897998","0.13523195758079998","0.16081578928923174","0.0016083846115680692","0.0000012236404245413723","0.000003105131327174604","0.0000016134355291796965","0.010294947814941406","43.75266361236572","0.00003147589086438529"
"12_seed_755_27_Sep_2024_13_05","finished","-","","","2024-09-27T07:32:48.000Z","501","","23","Jovita","cp","output/gear_inv/cp/12_755","755","4","jacobi","5","gauss-jacobi","[12,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_cp","true","12_seed_755","40000","97.1383450202318","0.0003644706442199315","0.03541030251853868","0.07811394143095729","0.0004590907489619413","0.04374165111929343","0.08726577810231527","0.000533209757983781","0.002148872312905614","0.12636719718193523","0.1502739509108915","0.0019445814341143704","3.12503885879778e-7","0.000003107701331828139","2.330487944846027e-7","0.01029459581375122","44.05980134010315","0.000008563228220737074"
