"Name","State","Notes","User","Tags","Created","Runtime","Sweep","additional.System","additional.run_by","experimentation.output_path","experimentation.seed","fe.fe_order","fe.fe_type","fe.quad_order","fe.quad_type","fe.rank_list","fe.svd_rank","geometry.exact_solution.exact_solution_file_name","geometry.exact_solution.exact_solution_generation","geometry.external_mesh_params.boundary_refinement_level","geometry.external_mesh_params.boundary_sampling_method","geometry.external_mesh_params.mesh_file_name","geometry.generate_mesh_plot","geometry.internal_mesh_params.n_boundary_points","geometry.internal_mesh_params.n_cells_x","geometry.internal_mesh_params.n_cells_y","geometry.internal_mesh_params.n_test_points_x","geometry.internal_mesh_params.n_test_points_y","geometry.internal_mesh_params.x_max","geometry.internal_mesh_params.x_min","geometry.internal_mesh_params.y_max","geometry.internal_mesh_params.y_min","geometry.mesh_generation_method","geometry.mesh_type","logging.plot_residual_images","logging.print_verbose","logging.test_errors_last_n_epochs","logging.update_console_output","logging.update_progress_bar","logging.update_solution_images","model.activation","model.dtype","model.epochs","model.learning_rate.decay_rate","model.learning_rate.decay_steps","model.learning_rate.initial_learning_rate","model.learning_rate.staircase","model.learning_rate.use_lr_scheduler","model.model_architecture","model.set_memory_growth","model.use_attention","pde.beta","wandb.entity","wandb.project_name","wandb.use_wandb","total_loss","wandb.wandb_run_prefix","epoch","epochs_per_sec","l2","l2_relative","linf","linf_relative","loss_dirichlet","loss_pde","time_per_epoch"
"gear_2_seed_914_04_Aug_2024_23_50","finished","-","","","2024-08-04T18:19:21.000Z","1724","","21","Jovita","output/gear_test_seeding/SVD/2_914","914","4","jacobi","5","gauss-jacobi","[10,16,25]","2","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","true","true","1000","1000","1000","1000","tanh","float32","100000","0.99","1000","0.005","false","true","[2,50,50,50,1]","true","false","5","starslab-iisc","Gear_experiment_SVD_Decomposition_seeding","true","0.015946662053465843","gear_2_seed_914","100000","72.36722396432738","0.2986673831971213","0.9974488203362532","0.9068391658655256","0.997691991706274","3.14087998276591e-7","0.01594509184360504","0.013818410396575928"
"gear_2_seed_759_04_Aug_2024_23_21","finished","-","","","2024-08-04T17:50:23.000Z","1724","","21","Jovita","output/gear_test_seeding/SVD/2_759","759","4","jacobi","5","gauss-jacobi","[10,16,25]","2","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","true","true","1000","1000","1000","1000","tanh","float32","100000","0.99","1000","0.005","false","true","[2,50,50,50,1]","true","false","5","starslab-iisc","Gear_experiment_SVD_Decomposition_seeding","true","0.015704181045293808","gear_2_seed_759","100000","72.35540912707162","0.2814109097223952","0.9398179905942284","0.8712048480188846","0.958487604772261","0.000004599010026140604","0.015681186690926552","0.013820666790008544"
"gear_9_seed_914_04_Aug_2024_01_26","finished","-","","","2024-08-03T19:55:00.000Z","1737","","21","Jovita","output/gear_test_seeding/SVD/9_914","914","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","true","true","1000","1000","1000","1000","tanh","float32","100000","0.99","1000","0.005","false","true","[2,50,50,50,1]","true","false","5","starslab-iisc","Gear_experiment_SVD_Decomposition_seeding","true","0.00456833653151989","gear_9_seed_914","100000","71.73703935296992","0.04319987528173932","0.14427308458387925","0.10460456848144528","0.1150845091369867","0.00007073157757986337","0.004214678891003132","0.013939800262451172"
"gear_9_seed_759_04_Aug_2024_00_41","finished","-","","","2024-08-03T19:09:59.000Z","1734","","21","Jovita","output/gear_test_seeding/SVD/9_759","759","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","true","true","1000","1000","1000","1000","tanh","float32","100000","0.99","1000","0.005","false","true","[2,50,50,50,1]","true","false","5","starslab-iisc","Gear_experiment_SVD_Decomposition_seeding","true","0.004378215875476599","gear_9_seed_759","100000","71.84547771064825","0.0295719620111172","0.09876042809652756","0.0844491124610901","0.09290975332843762","0.00006553191633429378","0.004050556104630232","0.013918760538101196"
"gear_9_seed_693_03_Aug_2024_23_56","finished","-","","","2024-08-03T18:24:59.000Z","1737","","21","Jovita","output/gear_test_seeding/SVD/9_693","693","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","true","true","1000","1000","1000","1000","tanh","float32","100000","0.99","1000","0.005","false","true","[2,50,50,50,1]","true","false","5","starslab-iisc","Gear_experiment_SVD_Decomposition_seeding","true","0.00436136731877923","gear_9_seed_693","100000","71.87206370179278","0.03535983424520796","0.11808997881730554","0.08908482228088377","0.09800989758463324","0.000053203373681753874","0.0040953503921628","0.013913611888885498"
"gear_9_seed_105_03_Aug_2024_23_11","finished","-","","","2024-08-03T17:39:59.000Z","1736","","21","Jovita","output/gear_test_seeding/SVD/9_105","105","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","true","true","1000","1000","1000","1000","tanh","float32","100000","0.99","1000","0.005","false","true","[2,50,50,50,1]","true","false","5","starslab-iisc","Gear_experiment_SVD_Decomposition_seeding","true","0.004264030605554581","gear_9_seed_105","100000","71.8445338049081","0.032613398073956815","0.10891780377154488","0.08170606365585331","0.08989188871819863","0.000043878269934793934","0.0040446394123137","0.013918943405151369"
"gear_9_seed_755_03_Aug_2024_22_27","finished","-","","","2024-08-03T16:55:50.000Z","1737","","21","Jovita","output/gear_test_seeding/SVD/9_755","755","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","true","true","1000","1000","1000","1000","tanh","float32","100000","0.99","1000","0.005","false","true","[2,50,50,50,1]","true","false","5","starslab-iisc","Gear_experiment_SVD_Decomposition_seeding","true","0.004455348942428827","gear_9_seed_755","100000","71.73985654163285","0.03237990074446487","0.10813800105803704","0.09335544573593137","0.10270837883806178","0.00007411267870338634","0.004084785468876362","0.013939252853393556"
"gear_8_seed_914_03_Aug_2024_20_37","finished","-","","","2024-08-03T15:06:09.000Z","1731","","21","Jovita","output/gear_test_seeding/SVD/8_914","914","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","true","true","1000","1000","1000","1000","tanh","float32","100000","0.99","1000","0.005","false","true","[2,50,50,50,1]","true","false","5","starslab-iisc","Gear_experiment_SVD_Decomposition_seeding","true","0.005200253799557686","gear_8_seed_914","100000","72.17347911525927","0.039675560776430814","0.132503056975964","0.10579118181228642","0.11639000482133131","0.000050018828915199265","0.004950159694999456","0.013855504989624024"
"gear_8_seed_759_03_Aug_2024_20_08","finished","-","","","2024-08-03T14:37:00.000Z","1736","","21","Jovita","output/gear_test_seeding/SVD/8_759","759","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","true","true","1000","1000","1000","1000","tanh","float32","100000","0.99","1000","0.005","false","true","[2,50,50,50,1]","true","false","5","starslab-iisc","Gear_experiment_SVD_Decomposition_seeding","true","0.00518362782895565","gear_8_seed_759","100000","72.08791393127557","0.03988144005141137","0.1331906246566488","0.10795466270065313","0.1187702367718039","0.00004930977229378186","0.004937078803777695","0.01387195086479187"
"gear_8_seed_693_03_Aug_2024_19_39","finished","-","","","2024-08-03T14:07:57.000Z","1730","","21","Jovita","output/gear_test_seeding/SVD/8_693","693","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","true","true","1000","1000","1000","1000","tanh","float32","100000","0.99","1000","0.005","false","true","[2,50,50,50,1]","true","false","5","starslab-iisc","Gear_experiment_SVD_Decomposition_seeding","true","0.0051102181896567345","gear_8_seed_693","100000","72.18424821183113","0.03704411376158118","0.12371490711961763","0.09941589836883546","0.1093760055634609","0.00004387805165606551","0.004890827927738428","0.013853437900543213"
