"Name","State","Notes","User","Tags","Created","Runtime","Sweep","additional.System","additional.run_by","experimentation.output_path","experimentation.seed","fe.fe_order","fe.fe_type","fe.quad_order","fe.quad_type","fe.rank_list","fe.svd_rank","geometry.exact_solution.exact_solution_file_name","geometry.exact_solution.exact_solution_generation","geometry.external_mesh_params.boundary_refinement_level","geometry.external_mesh_params.boundary_sampling_method","geometry.external_mesh_params.mesh_file_name","geometry.generate_mesh_plot","geometry.internal_mesh_params.n_boundary_points","geometry.internal_mesh_params.n_cells_x","geometry.internal_mesh_params.n_cells_y","geometry.internal_mesh_params.n_test_points_x","geometry.internal_mesh_params.n_test_points_y","geometry.internal_mesh_params.x_max","geometry.internal_mesh_params.x_min","geometry.internal_mesh_params.y_max","geometry.internal_mesh_params.y_min","geometry.mesh_generation_method","geometry.mesh_type","inverse.Sensor_data_file","inverse.num_sensor_points","logging.plot_residual_images","logging.print_verbose","logging.test_errors_last_n_epochs","logging.update_console_output","logging.update_progress_bar","logging.update_solution_images","model.activation","model.dtype","model.epochs","model.learning_rate.decay_rate","model.learning_rate.decay_steps","model.learning_rate.initial_learning_rate","model.learning_rate.staircase","model.learning_rate.use_lr_scheduler","model.model_architecture","model.set_memory_growth","model.use_attention","pde.beta","wandb.entity","wandb.project_name","wandb.use_wandb","wandb.wandb_run_prefix","epoch","epochs_per_sec","l1","l1_inverse","l1_inverse_relative","l2","l2_inverse","l2_inverse_relative","l2_relative","linf","linf_inverse","linf_inverse_relative","linf_relative","loss_dirichlet","loss_pde","sensor_loss","time_per_epoch","total_loss"
"9_seed_914_28_Sep_2024_20_02","finished","-","","","2024-09-28T14:28:50.000Z","587","","23","Jovita","output/gear_inv/svd/9_914","914","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","9_seed_914","40000","103.07364059653854","0.0004367617402897135","0.019769369592243836","0.04361056722537179","0.0005256213792686727","0.024195658844493984","0.048270994389409794","0.000610481585753287","0.0015180160264802731","0.08003495707725994","0.09517635493384834","0.0013736999467363262","4.36223018596138e-7","0.000003807576604231144","3.899057787748461e-7","0.009701801490783693","0.000012068864634784404"
"9_seed_759_28_Sep_2024_19_52","finished","-","","","2024-09-28T14:18:46.000Z","591","","23","Jovita","output/gear_inv/svd/9_759","759","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","9_seed_759","40000","103.06781198471364","0.0016737870642732275","0.018343320611274756","0.040464750933099904","0.0019355862410433552","0.0233304925907083","0.04654496429240754","0.002248081612354648","0.004589102941195744","0.0818651265428304","0.09735276465536637","0.004152822075604109","0.0000046123223000904545","0.000003800089416472474","0.0000035567813938541804","0.00970235013961792","0.00008549111953470856"
"9_seed_693_28_Sep_2024_19_42","finished","-","","","2024-09-28T14:08:44.000Z","590","","23","Jovita","output/gear_inv/svd/9_693","693","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","9_seed_693","40000","103.05126436677796","0.0003492602653270253","0.02085934475832014","0.04601501593742408","0.0004310221484537578","0.02537883122165042","0.05063145531120113","0.0005006095548262291","0.00245035260617954","0.07805355307517292","0.09282009939930812","0.002217400334302593","0.0000020083073195564793","0.000003797161753027467","0.0000020876591406704392","0.009703908109664917","0.000044756827264791355"
"9_seed_105_28_Sep_2024_19_32","finished","-","","","2024-09-28T13:58:49.000Z","583","","23","Jovita","output/gear_inv/svd/9_105","105","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","9_seed_105","40000","103.0213616725393","0.00030739044989745555","0.017332531926623408","0.038234984947039974","0.00039317159607751986","0.022699149975656065","0.0452854186844599","0.00045664812907822433","0.002334480450613574","0.0860829788342275","0.10236857051576102","0.002112544014505854","2.2950696632051407e-7","0.000003793004907493014","1.676032610475886e-7","0.009706724739074708","0.000007764107067487203"
"9_seed_755_28_Sep_2024_19_22","finished","-","","","2024-09-28T13:48:46.000Z","591","","23","Jovita","output/gear_inv/svd/9_755","755","4","jacobi","5","gauss-jacobi","[10,16,25]","9","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","9_seed_755","40000","103.01210770194784","0.00032920992216574645","0.01900135073729783","0.04191634335304779","0.0004202310950483949","0.022861255512085264","0.04560882361795469","0.0004880763138762125","0.002018814978005712","0.07404474988197796","0.08805289155027844","0.001826888504060851","2.35105176216166e-7","0.0000037936633816570975","2.1354598800371605e-7","0.009707596731185913","0.000008280175279651303"
"8_seed_914_28_Sep_2024_19_12","finished","-","","","2024-09-28T13:38:54.000Z","581","","23","Jovita","output/gear_inv/svd/8_914","914","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","8_seed_914","40000","104.38460101358116","0.0003699279120522059","0.020536829932388697","0.04530355903274966","0.0004650721181304632","0.026034420613027513","0.05193937389429529","0.0005401568036691289","0.0020347286920381347","0.10253201499199384","0.12192951439382164","0.0018412893191625224","3.068865908062435e-7","0.000004798352165380493","2.247109165409711e-7","0.009579957103729247","0.000010114326869370416"
"8_seed_759_28_Sep_2024_19_02","finished","-","","","2024-09-28T13:28:56.000Z","585","","23","Jovita","output/gear_inv/svd/8_759","759","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","8_seed_759","40000","104.43672261876443","0.0090708238228212","0.023663333472351857","0.05220052113231101","0.011130513825955375","0.03086484479399567","0.06157620089853468","0.01292750637383198","0.02098070037634059","0.1069398788589564","0.12717127913291104","0.01898608874129987","0.00001804283056117129","0.000004794915184902493","0.00001403928308718605","0.009575176000595091","0.00032561604166403413"
"8_seed_693_28_Sep_2024_18_52","finished","-","","","2024-09-28T13:19:02.000Z","581","","23","Jovita","output/gear_inv/svd/8_693","693","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","8_seed_693","40000","104.46910551387028","0.0008676474693700633","0.026429954394946355","0.05830359423077056","0.0010922833250229889","0.031896749099056675","0.0636348779215554","0.0012686296308565125","0.0037660059303067377","0.09696510077793535","0.11530942459216102","0.003407975973657009","9.150995197160228e-7","0.000004774497938342392","7.759064715173736e-7","0.009572207927703856","0.000021684558305423707"
"8_seed_105_28_Sep_2024_18_42","finished","-","","","2024-09-28T13:09:06.000Z","584","","23","Jovita","output/gear_inv/svd/8_105","105","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","8_seed_105","40000","104.4280191568553","0.0011608828504747217","0.083820964048646","0.184906239446963","0.0014541288744654756","0.1071990950303228","0.21386509654545177","0.001688894204433732","0.004048547900880051","0.2672008988147218","0.31775124911585595","0.00366365699622649","0.000010139457117475104","0.000005163545210962184","0.000007831489710952155","0.00957597403526306","0.0001848730171332136"
"8_seed_755_28_Sep_2024_18_32","finished","-","","","2024-09-28T12:59:13.000Z","581","","23","Jovita","output/gear_inv/svd/8_755","755","4","jacobi","5","gauss-jacobi","[10,16,25]","8","fem_output_gear_forward_sin.csv","external","2","uniform","meshes/gear.mesh","true","2000","8","8","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","true","true","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_svd","true","8_seed_755","40000","104.43203683907984","0.00032380757674694123","0.02420939294060359","0.05340511003121985","0.0004114803720917475","0.028430188816357303","0.05671899631518156","0.00047791280942649874","0.001610939667685107","0.08962903990959636","0.10658549246900968","0.0014577894416737398","1.9621597857621967e-7","0.000004777820322487969","2.0239630771357042e-7","0.009575605630874631","0.00000876394369697664"
