"Name","State","Notes","User","Tags","Created","Runtime","Sweep","additional.System","additional.run_by","decomposition_type","experimentation.output_path","experimentation.seed","fe.fe_order","fe.fe_type","fe.quad_order","fe.quad_type","fe.rank_list","geometry.external_mesh_params.boundary_refinement_level","geometry.external_mesh_params.boundary_sampling_method","geometry.external_mesh_params.mesh_file_name","geometry.internal_mesh_params.n_boundary_points","geometry.internal_mesh_params.n_cells_x","geometry.internal_mesh_params.n_cells_y","geometry.internal_mesh_params.n_test_points_x","geometry.internal_mesh_params.n_test_points_y","geometry.internal_mesh_params.x_max","geometry.internal_mesh_params.x_min","geometry.internal_mesh_params.y_max","geometry.internal_mesh_params.y_min","geometry.mesh_generation_method","geometry.mesh_type","inverse.Sensor_data_file","inverse.num_sensor_points","logging.update_console_output","logging.update_progress_bar","logging.update_solution_images","model.activation","model.dtype","model.epochs","model.learning_rate.decay_rate","model.learning_rate.decay_steps","model.learning_rate.initial_learning_rate","model.learning_rate.staircase","model.learning_rate.use_lr_scheduler","model.model_architecture","model.set_memory_growth","model.use_attention","pde.beta","wandb.entity","wandb.project_name","wandb.use_wandb","wandb.wandb_run_prefix","epoch","epochs_per_sec","l1","l1_inverse","l1_inverse_relative","l2","l2_inverse","l2_inverse_relative","l2_relative","linf","linf_inverse","linf_inverse_relative","linf_relative","loss_dirichlet","loss_pde","sensor_loss","time_per_epoch","time_taken","total_loss"
"256_seed_914_27_Sep_2024_09_26","finished","-","","","2024-09-27T03:53:44.000Z","426","","23","Jovita","ttd","output/gear_inv/ttd/256_914","914","4","jacobi","5","gauss-jacobi","[256,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_ttd","true","256_seed_914","40000","105.5298313575374","0.0010281239557877037","0.01306804430170032","0.02882766806823373","0.0011045908328919756","0.016996940446459035","0.03390935631062024","0.0012829241539046123","0.0023575458802734817","0.05581075670493929","0.06636930390489583","0.0021334166396577317","0.0000021269211174512748","4.249906382369773e-8","0.000002146863153029699","0.009475993537902832","0.9105885028839112","0.00004278033884475008"
"256_seed_759_27_Sep_2024_09_19","finished","-","","","2024-09-27T03:46:25.000Z","426","","23","Jovita","ttd","output/gear_inv/ttd/256_759","759","4","jacobi","5","gauss-jacobi","[256,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_ttd","true","256_seed_759","40000","105.40919154205277","0.0006453961415641462","0.012072694153562389","0.026631958976671023","0.0007018625318060144","0.01646429194055577","0.032846708122148405","0.0008151764146159985","0.0016095208953743612","0.07974128499245159","0.09482712455254257","0.0014565055504540789","4.510334292717744e-7","3.383865276873621e-8","5.851140372215013e-7","0.009486838722229003","0.90372896194458","0.000010395313438493758"
"256_seed_693_27_Sep_2024_09_11","finished","-","","","2024-09-27T03:39:06.000Z","427","","23","Jovita","ttd","output/gear_inv/ttd/256_693","693","4","jacobi","5","gauss-jacobi","[256,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_ttd","true","256_seed_693","40000","105.45257078605488","0.0028063987288225287","0.01009607177376426","0.0222715962058126","0.0028634218110655985","0.01230140945846009","0.0245416448780144","0.0033257138252862943","0.004515710858300825","0.03957682369216953","0.04706415741866509","0.004086407295651239","0.0000013355730743569438","5.5840011725649674e-8","0.0000013950793800177053","0.009482936191558836","0.9063856601715088","0.000027362362743588164"
"256_seed_105_27_Sep_2024_09_04","finished","-","","","2024-09-27T03:31:49.000Z","425","","23","Jovita","ttd","output/gear_inv/ttd/256_105","105","4","jacobi","5","gauss-jacobi","[256,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_ttd","true","256_seed_105","40000","105.45828458881222","0.00026024006497702714","0.013829733264176062","0.030507928409762495","0.00032304404473128956","0.017288369436699206","0.03449076503535087","0.0003751986667096883","0.0018132974366975585","0.05187098756050579","0.06168419029777469","0.001640909284722181","2.2295421331364198e-7","2.8381634820107138e-8","1.7513762884391326e-7","0.009482422399520874","0.9031195640563964","0.00000400930002797395"
"256_seed_755_27_Sep_2024_08_57","finished","-","","","2024-09-27T03:24:31.000Z","426","","23","Jovita","ttd","output/gear_inv/ttd/256_755","755","4","jacobi","5","gauss-jacobi","[256,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_ttd","true","256_seed_755","40000","105.4548472181396","0.0008737148847048807","0.01020118716974604","0.02250347724893314","0.001021473751739377","0.013091113061355289","0.02611712494365954","0.0011863880358802229","0.00366497605741245","0.04028461947655193","0.04790585741145738","0.0033165508973780375","0.000001236452021657897","3.0438922493658544e-8","9.639683185014292e-7","0.00948273148536682","0.895263671875","0.000022034642825019542"
"64_seed_914_27_Sep_2024_08_50","finished","-","","","2024-09-27T03:17:18.000Z","421","","23","Jovita","ttd","output/gear_inv/ttd/64_914","914","4","jacobi","5","gauss-jacobi","[64,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_ttd","true","64_seed_914","40000","106.56930498692292","0.000857494486851825","0.02807427202872668","0.06193090386111785","0.0010369374266092374","0.03520551461530673","0.07023595469724007","0.0012043482808939635","0.00418300002515537","0.1143287874720048","0.13595805699112118","0.003785326907962427","0.0000010002587487178971","7.985511274455348e-8","9.552786650601774e-7","0.00938356499671936","0.8802008628845215","0.000019635228454717435"
"64_seed_759_27_Sep_2024_08_42","finished","-","","","2024-09-27T03:10:03.000Z","422","","23","Jovita","ttd","output/gear_inv/ttd/64_759","759","4","jacobi","5","gauss-jacobi","[64,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_ttd","true","64_seed_759","40000","106.52531127162538","0.0004274822738662042","0.0113353828605846","0.02500547495762325","0.0005019180610744641","0.01539342310151131","0.030710295799031524","0.0005829514284013377","0.001234726889026705","0.06572936549400799","0.0781643627770722","0.00111734278960324","3.554007719230867e-7","3.3040304714404556e-8","3.538523856150278e-7","0.009387440299987794","0.8917758464813232","0.0000071255717557505704"
"64_seed_693_27_Sep_2024_08_35","finished","-","","","2024-09-27T03:02:49.000Z","422","","23","Jovita","ttd","output/gear_inv/ttd/64_693","693","4","jacobi","5","gauss-jacobi","[64,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_ttd","true","64_seed_693","40000","106.43460860091103","0.0003469071754961499","0.008550193444573957","0.01886144038456432","0.00043266952662707566","0.011543598026155044","0.023029790556041606","0.0005025228979268878","0.001590972837807958","0.05252420427979876","0.062460985695617366","0.0014397208359012898","2.9048914029772277e-7","3.259142644651547e-8","1.891921925789575e-7","0.009395440196990968","0.8981728553771973","0.000004829404588235775"
"64_seed_105_27_Sep_2024_08_28","finished","-","","","2024-09-27T02:55:34.000Z","423","","23","Jovita","ttd","output/gear_inv/ttd/64_105","105","4","jacobi","5","gauss-jacobi","[64,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_ttd","true","64_seed_105","40000","106.49484968922516","0.0009486898820521536","0.0148662718203844","0.03279449775008929","0.001067630823926804","0.018816488833158073","0.03753940459862526","0.0012399970474883792","0.003326599762899951","0.06200973763679973","0.07374103784397157","0.003010343657375163","0.0000010944755786113092","3.185988362019998e-8","0.000001062861201717169","0.009390125465393069","0.9050614833831788","0.00002160522672056686"
"64_seed_755_27_Sep_2024_08_21","finished","-","","","2024-09-27T02:48:18.000Z","424","","23","Jovita","ttd","output/gear_inv/ttd/64_755","755","4","jacobi","5","gauss-jacobi","[64,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_ttd","true","64_seed_755","40000","106.47113653579191","0.0012361756698846607","0.00913025842743293","0.020141044309819486","0.001384844092165346","0.01293298855642864","0.02580166227578185","0.0016084235739848626","0.0031397312514764852","0.04663615002846233","0.05545900104091232","0.002841240525582603","0.0000020684919945779257","2.9785750754740548e-8","0.000002606971747809439","0.009392216825485227","0.906424045562744","0.00004678442201111466"
