"Name","State","Notes","User","Tags","Created","Runtime","Sweep","additional.System","additional.run_by","decomposition_type","experimentation.output_path","experimentation.seed","fe.fe_order","fe.fe_type","fe.quad_order","fe.quad_type","fe.rank_list","geometry.external_mesh_params.boundary_refinement_level","geometry.external_mesh_params.boundary_sampling_method","geometry.external_mesh_params.mesh_file_name","geometry.internal_mesh_params.n_boundary_points","geometry.internal_mesh_params.n_cells_x","geometry.internal_mesh_params.n_cells_y","geometry.internal_mesh_params.n_test_points_x","geometry.internal_mesh_params.n_test_points_y","geometry.internal_mesh_params.x_max","geometry.internal_mesh_params.x_min","geometry.internal_mesh_params.y_max","geometry.internal_mesh_params.y_min","geometry.mesh_generation_method","geometry.mesh_type","inverse.Sensor_data_file","inverse.num_sensor_points","logging.update_console_output","logging.update_progress_bar","logging.update_solution_images","model.activation","model.dtype","model.epochs","model.learning_rate.decay_rate","model.learning_rate.decay_steps","model.learning_rate.initial_learning_rate","model.learning_rate.staircase","model.learning_rate.use_lr_scheduler","model.model_architecture","model.set_memory_growth","model.use_attention","pde.beta","wandb.entity","wandb.project_name","wandb.use_wandb","wandb.wandb_run_prefix","epoch","epochs_per_sec","l1","l1_inverse","l1_inverse_relative","l2","l2_inverse","l2_inverse_relative","l2_relative","linf","linf_inverse","linf_inverse_relative","linf_relative","loss_dirichlet","loss_pde","sensor_loss","time_per_epoch","time_taken","total_loss"
"256_seed_914_26_Sep_2024_23_21","finished","-","","","2024-09-26T17:49:11.000Z","1052","","23","Jovita","tucker","output/gear_inv/tucker/256_914","914","4","jacobi","5","gauss-jacobi","[256,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","256_seed_914","40000","40.35996159295715","0.0002842024832384713","0.01195786376245702","0.026378646979672345","0.00035185611206937635","0.015660269049011858","0.031242660688015192","0.0004086623674858224","0.0018279005746675292","0.0593569733164262","0.0705864108193329","0.001654124118756605","1.5166426692303506e-7","4.0294210634783674e-8","1.328627661223436e-7","0.024777030515670775","5.2494354248046875","0.0000028855645268777153"
"256_seed_759_26_Sep_2024_23_04","finished","-","","","2024-09-26T17:31:27.000Z","1050","","23","Jovita","tucker","output/gear_inv/tucker/256_759","759","4","jacobi","5","gauss-jacobi","[256,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","256_seed_759","40000","40.3368006061245","0.00027922843569910355","0.014881053792107355","0.03282710628464774","0.00036003806268184856","0.018962791031680575","0.03783128144518797","0.00041816527277366826","0.0021341664368317304","0.06784509196495525","0.0806803525507336","0.0019312736291722547","1.6938896862939148e-7","2.857184355775644e-8","1.5997409263945886e-7","0.02479125723838806","5.281898736953735","0.0000033222022466361523"
"256_seed_693_26_Sep_2024_22_46","finished","-","","","2024-09-26T17:13:41.000Z","1052","","23","Jovita","tucker","output/gear_inv/tucker/256_693","693","4","jacobi","5","gauss-jacobi","[256,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","256_seed_693","40000","40.33250181640325","0.0011564839009193045","0.008694810347431537","0.01918046042890958","0.001431710752255086","0.011989969558656962","0.02392031384699533","0.0016628567346191451","0.003366296784515832","0.04608642580689837","0.0548052773489411","0.003046266727703851","0.000002436550403217552","2.7557062409755417e-8","0.0000019667772903630976","0.024793899583816528","5.230910778045654","0.00004406083462527022"
"256_seed_105_26_Sep_2024_22_28","finished","-","","","2024-09-26T16:55:56.000Z","1051","","23","Jovita","tucker","output/gear_inv/tucker/256_105","105","4","jacobi","5","gauss-jacobi","[256,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","256_seed_105","40000","40.32775368630344","0.0002516506159204895","0.013291199879389256","0.02931994179892154","0.0003250421800906505","0.01654738389960528","0.033012478829813875","0.00037751939583305393","0.0017105986337495604","0.053850517418141286","0.06403821712820823","0.0015479739416964186","7.825418038009957e-7","2.4732321080023212e-8","7.718581400695257e-7","0.02479681878089905","5.145617723464966","0.00001556873212393839"
"256_seed_755_26_Sep_2024_22_10","finished","-","","","2024-09-26T16:37:40.000Z","1071","","23","Jovita","tucker","output/gear_inv/tucker/256_755","755","4","jacobi","5","gauss-jacobi","[256,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","256_seed_755","40000","40.33569529507581","0.0015173319204674852","0.010864201139110775","0.023966063860379035","0.0018530787015423344","0.014841570841908638","0.02960933560206935","0.002152253444898318","0.0058246900300813476","0.0529993129033034","0.06302597765205907","0.005270943286831192","0.000016875845176400617","2.7604698971117617e-8","0.000013458704415825196","0.024791936588287353","5.226374626159668","0.0003033730899915099"
"64_seed_914_26_Sep_2024_22_00","finished","-","","","2024-09-26T16:28:01.000Z","566","","23","Jovita","tucker","output/gear_inv/tucker/64_914","914","4","jacobi","5","gauss-jacobi","[64,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","64_seed_914","40000","78.04896784185738","0.0007848767886441837","0.012071725646711686","0.0266298224829946","0.0009868389068740438","0.016169287078972926","0.03225816543728762","0.0011461614852685896","0.002717438143056472","0.05964508593035461","0.07092902996233685","0.0024590943489781704","9.502327316113224e-7","3.5114474883357616e-8","7.953653948788997e-7","0.012812469244003297","5.612018346786499","0.000017491094695287757"
"64_seed_759_26_Sep_2024_21_50","finished","-","","","2024-09-26T16:18:22.000Z","567","","23","Jovita","tucker","output/gear_inv/tucker/64_759","759","4","jacobi","5","gauss-jacobi","[64,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","64_seed_759","40000","78.03294026930628","0.0005418928932503054","0.011428883276374415","0.02521173374343713","0.0006726800234948033","0.015468352695135483","0.03085978236671209","0.0007812824661337769","0.0019232797454720176","0.06940119042610637","0.08253084119793268","0.001740435698850837","7.325093633880897e-7","2.6261567143137657e-8","5.924827632952656e-7","0.012815100860595703","5.675344944000244","0.000013276182471599896"
"64_seed_693_26_Sep_2024_21_41","finished","-","","","2024-09-26T16:08:46.000Z","564","","23","Jovita","tucker","output/gear_inv/tucker/64_693","693","4","jacobi","5","gauss-jacobi","[64,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","64_seed_693","40000","78.04099955348303","0.0004719510948450958","0.00845323248728481","0.018647547760099765","0.0005549163816161875","0.01142272868294738","0.02278865294431848","0.0006445061901417923","0.0015703473367248977","0.044985647227186454","0.05349624818678258","0.0014210561780551509","3.6846503803644737e-7","2.6844155343042075e-8","3.526821217292309e-7","0.012813777446746824","5.5984766483306885","0.000007238315902213799"
"64_seed_105_26_Sep_2024_21_31","finished","-","","","2024-09-26T15:59:10.000Z","563","","23","Jovita","tucker","output/gear_inv/tucker/64_105","105","4","jacobi","5","gauss-jacobi","[64,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","64_seed_105","40000","78.0525149578273","0.0005052415094362161","0.016239926210788964","0.03582473333032086","0.0006246608133807777","0.02069906675344971","0.0412951985124043","0.0007255106792673103","0.0021056582193208495","0.06104521527504436","0.07259404250597887","0.001905475655901151","4.509855102696747e-7","2.9174309190693748e-8","3.089306517267687e-7","0.012811886978149414","5.464868545532227","0.000007628335879417136"
"64_seed_755_26_Sep_2024_21_22","finished","-","","","2024-09-26T15:49:33.000Z","565","","23","Jovita","tucker","output/gear_inv/tucker/64_755","755","4","jacobi","5","gauss-jacobi","[64,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","64_seed_755","40000","78.0347442730212","0.0003847799114243934","0.009272943464156105","0.020455802722172296","0.0005075321775236831","0.011783527965141382","0.023508457279402872","0.0005894719293697181","0.0022402627045319257","0.04111717715477459","0.04889592235281704","0.0020272834437896994","4.276625986676663e-7","2.288739864297895e-8","3.353993633936625e-7","0.01281480460166931","5.40599799156189","0.000007653507054783404"
"16_seed_914_26_Sep_2024_21_14","finished","-","","","2024-09-26T15:41:54.000Z","447","","23","Jovita","tucker","output/gear_inv/tucker/16_914","914","4","jacobi","5","gauss-jacobi","[16,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","16_seed_914","40000","100.88247196730052","0.0005879634382489949","0.012953447840957942","0.02857487211378125","0.0006800540352579303","0.016841902935078076","0.033600052278433434","0.0007898469929435133","0.0017293211881217465","0.055545435096974294","0.06605378747990519","0.001564916563839528","7.248621614053263e-7","4.185025304082046e-8","4.933052082378708e-7","0.009912524747848511","4.592714548110962","0.00001222352420882089"
"16_seed_759_26_Sep_2024_21_06","finished","-","","","2024-09-26T15:34:15.000Z","447","","23","Jovita","tucker","output/gear_inv/tucker/16_759","759","4","jacobi","5","gauss-jacobi","[16,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","16_seed_759","40000","100.96258658394696","0.0004004906336604516","0.01356759290195018","0.02992965555002395","0.0005173527289716632","0.01813522575454656","0.036180266314492456","0.0006008779833420206","0.001638786775959078","0.08049540295814983","0.09572391017955303","0.0014829891566210257","1.3719157720970546e-7","2.7144716696625437e-8","1.852015429903986e-7","0.009904659080505371","4.855537176132202","0.000003251076122978702"
"16_seed_693_26_Sep_2024_20_59","finished","-","","","2024-09-26T15:26:35.000Z","447","","23","Jovita","tucker","output/gear_inv/tucker/16_693","693","4","jacobi","5","gauss-jacobi","[16,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","16_seed_693","40000","100.96759229119536","0.00092659181365132","0.008421812264204964","0.018578235800278984","0.0010607153973463232","0.011579468150009316","0.023101352424162055","0.0012319651432479422","0.0032802280753873037","0.04535281183900286","0.05393287476458724","0.002968380474144551","9.894748700389755e-7","2.6846462830576456e-8","0.000001049448769663286","0.009904168033599852","4.751047849655151","0.000020416082406882197"
"16_seed_105_26_Sep_2024_20_51","finished","-","","","2024-09-26T15:18:54.000Z","448","","23","Jovita","tucker","output/gear_inv/tucker/16_105","105","4","jacobi","5","gauss-jacobi","[16,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","16_seed_105","40000","100.90826396922292","0.0007545492247482651","0.013805483147102476","0.030454433463657803","0.0009113419783157826","0.017770513811103537","0.035452656114297584","0.001058475773683043","0.002753739521963672","0.05284613311243774","0.06284381857212043","0.00249194459653906","0.000001239268499375612","2.4803387788097098e-8","0.00000113877149487962","0.009909991121292112","4.817915678024292","0.000023805203454685397"
"16_seed_755_26_Sep_2024_20_43","finished","-","","","2024-09-26T15:11:16.000Z","447","","23","Jovita","tucker","output/gear_inv/tucker/16_755","755","4","jacobi","5","gauss-jacobi","[16,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","16_seed_755","40000","100.9465578558653","0.0003998407914242644","0.008526247590612709","0.018808616632695382","0.0005092565253163059","0.011242955211132792","0.02243000000144557","0.000591474668634805","0.0025788006156705068","0.04480908885216228","0.05328628764976845","0.002333636935707421","3.477783252492373e-7","2.6028354582763313e-8","2.946901531686308e-7","0.009906231784820555","4.7036519050598145","0.000006450713044614531"
"4_seed_914_26_Sep_2024_20_36","finished","-","","","2024-09-26T15:04:06.000Z","417","","23","Jovita","tucker","output/gear_inv/tucker/4_914","914","4","jacobi","5","gauss-jacobi","[4,16,25]","2","uniform","meshes/gear.mesh","1500","20","20","100","100","1","0","1","0","external","quadrilateral","fem_output_gear_forward_sin.csv","1000","5000","100","5000","tanh","float32","40000","0.99","1000","0.003","true","false","[2,30,30,30,2]","true","false","10","starslab-iisc","gear_inverse_experiment_tucker","true","4_seed_914","40000","108.96424104767765","0.0007511723800147585","0.01298457294443711","0.02864353304964677","0.0008388961620350007","0.016916234469849207","0.03374834570251228","0.0009743337685275102","0.002077233499675702","0.05734439134550812","0.06819307891796567","0.0018797532424474077","0.000001347867737422348","3.871944898037327e-8","0.0000012368604984658305","0.009177322673797608","4.551295757293701","0.000025886001822073013"
